Fp1
Fp2
F7
F3
Fz
F4
F8
FC5
FC3
FC1
FCz
FC2
FC4
FC6
T3
C5
C3
C1
Cz
C2
C4
C6
T4
TP9
CP5
CP3
CP1
CPz
CP2
CP4
CP6
TP10
T5
P5
P3
P1
Pz
P2
P4
P6
T6
PO3
POz
PO4
O1
Oz
O2
